time_stamp,sensor_index,humidity,temperature,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1_a,pm2.5_cf_1_b
2021-01-02 10:00:00+00:00,182,70.0,52.2,0.146,0.192,0.146,0.192
2021-01-02 10:10:00+00:00,182,70.2,53.0,0.214,0.114,0.214,0.114
2021-01-02 10:20:00+00:00,182,70.6,53.0,0.104,0.172,0.104,0.172
2021-01-02 10:30:00+00:00,182,70.8,53.0,0.146,0.056,0.146,0.056
2021-01-02 10:40:00+00:00,182,70.4,53.0,0.0,0.0,0.0,0.0
2021-01-02 10:50:00+00:00,182,70.2,53.0,0.0,0.132,0.0,0.132
2021-01-02 11:00:00+00:00,182,70.2,53.0,0.036,0.196,0.036,0.196
2021-01-02 11:10:00+00:00,182,70.8,53.0,0.168,0.0,0.168,0.0
2021-01-02 11:20:00+00:00,182,70.8,53.0,0.068,0.034,0.068,0.034
2021-01-02 11:30:00+00:00,182,70.4,53.4,0.028,0.022,0.028,0.022
2021-01-02 11:40:00+00:00,182,70.2,53.0,0.03,0.142,0.03,0.142
2021-01-02 11:50:00+00:00,182,71.0,53.4,0.0,0.172,0.0,0.172
2021-01-02 12:00:00+00:00,182,70.4,53.2,0.0,0.05,0.0,0.05
2021-01-02 12:10:00+00:00,182,70.8,53.2,0.05,0.02,0.05,0.02
2021-01-02 12:20:00+00:00,182,70.4,53.8,0.05,0.062,0.05,0.062
2021-01-02 12:30:00+00:00,182,70.0,53.4,0.062,0.132,0.062,0.132
2021-01-02 12:40:00+00:00,182,69.4,53.2,0.244,0.318,0.244,0.318
2021-01-02 12:50:00+00:00,182,69.0,53.6,0.274,0.204,0.274,0.204
2021-01-02 13:00:00+00:00,182,69.0,54.0,0.22,0.276,0.22,0.276
2021-01-02 13:10:00+00:00,182,68.8,53.8,0.176,0.422,0.176,0.422
2021-01-02 13:20:00+00:00,182,69.0,53.0,0.354,0.57,0.354,0.57
2021-01-02 13:30:00+00:00,182,69.6,53.0,0.35,0.31,0.35,0.31
2021-01-02 13:40:00+00:00,182,69.4,53.0,0.19,0.312,0.19,0.312
2021-01-02 13:50:00+00:00,182,69.2,53.0,0.238,0.328,0.238,0.328
2021-01-02 14:00:00+00:00,182,69.4,53.0,0.162,0.444,0.162,0.444
2021-01-02 14:10:00+00:00,182,69.4,52.8,0.266,0.16,0.266,0.16
2021-01-02 14:20:00+00:00,182,69.4,53.0,0.152,0.052,0.152,0.052
2021-01-02 14:30:00+00:00,182,69.2,53.0,0.158,0.076,0.158,0.076
2021-01-02 14:40:00+00:00,182,69.2,53.0,0.096,0.114,0.096,0.114
2021-01-02 14:50:00+00:00,182,69.4,52.8,0.092,0.1,0.092,0.1
2021-01-02 15:00:00+00:00,182,69.4,52.0,0.0,0.0,0.0,0.0
2021-01-02 15:10:00+00:00,182,69.6,52.2,0.0,0.0,0.0,0.0
2021-01-02 15:20:00+00:00,182,69.8,52.0,0.0,0.05,0.0,0.05
2021-01-02 15:30:00+00:00,182,70.0,52.2,0.066,0.014,0.066,0.014
2021-01-02 15:40:00+00:00,182,69.8,52.0,0.05,0.0,0.05,0.0
2021-01-02 15:50:00+00:00,182,70.0,52.0,0.0,0.0,0.0,0.0
2021-01-02 16:00:00+00:00,182,70.0,52.0,0.006,0.056,0.006,0.056
2021-01-02 16:10:00+00:00,182,70.2,51.6,0.0,0.024,0.0,0.024
2021-01-02 16:20:00+00:00,182,70.6,51.8,0.0,0.01,0.0,0.01
2021-01-02 16:30:00+00:00,182,71.0,51.4,0.0,0.0,0.0,0.0
2021-01-02 16:40:00+00:00,182,71.0,51.4,0.014,0.0,0.014,0.0
2021-01-02 16:50:00+00:00,182,70.8,51.6,0.04,0.0,0.04,0.0
2021-01-02 17:00:00+00:00,182,70.4,51.2,0.034,0.048,0.034,0.048
2021-01-02 17:10:00+00:00,182,70.8,51.4,0.0,0.106,0.0,0.106
2021-01-02 17:20:00+00:00,182,71.0,51.2,0.09,0.036,0.09,0.036
2021-01-02 17:30:00+00:00,182,71.0,51.4,0.034,0.05,0.034,0.05
2021-01-02 17:40:00+00:00,182,71.0,51.6,0.0,0.058,0.0,0.058
2021-01-02 17:50:00+00:00,182,71.0,51.6,0.094,0.08,0.094,0.08
2021-01-02 18:00:00+00:00,182,71.2,52.0,0.172,0.084,0.172,0.084
2021-01-02 18:10:00+00:00,182,71.6,52.0,0.208,0.186,0.208,0.186
2021-01-02 18:20:00+00:00,182,72.0,52.0,0.272,0.22,0.272,0.22
2021-01-02 18:30:00+00:00,182,72.2,52.0,0.138,0.256,0.138,0.256
2021-01-02 18:40:00+00:00,182,72.4,52.0,0.21,0.266,0.21,0.266
2021-01-02 18:50:00+00:00,182,72.0,52.0,0.424,0.22,0.424,0.22
2021-01-02 19:00:00+00:00,182,72.4,51.6,0.334,0.288,0.334,0.288
2021-01-02 19:10:00+00:00,182,72.6,52.2,0.462,0.382,0.462,0.382
2021-01-02 19:20:00+00:00,182,72.6,52.2,0.388,0.596,0.388,0.596
2021-01-02 19:30:00+00:00,182,72.6,52.0,0.498,0.556,0.498,0.558
2021-01-02 19:40:00+00:00,182,72.8,52.2,0.626,0.878,0.626,0.878
2021-01-02 19:50:00+00:00,182,72.6,53.0,1.03,0.924,1.03,0.924
2021-01-02 20:00:00+00:00,182,71.8,53.0,0.81,1.086,0.81,1.086
2021-01-02 20:10:00+00:00,182,71.2,53.0,0.552,0.732,0.552,0.732
