time_stamp,sensor_index,humidity,temperature,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1_a,pm2.5_cf_1_b
2020-12-20 16:20:00+00:00,182,69.2,48.0,0.84,1.27,0.84,1.27
2020-12-20 16:30:00+00:00,182,69.2,48.0,0.368,0.392,0.368,0.392
2020-12-20 16:40:00+00:00,182,69.0,47.8,0.548,1.052,0.548,1.052
2020-12-20 16:50:00+00:00,182,69.6,48.0,1.076,1.41,1.076,1.41
2020-12-20 17:00:00+00:00,182,69.4,47.8,1.292,1.488,1.292,1.488
2020-12-20 17:10:00+00:00,182,70.0,48.0,1.978,2.436,1.978,2.436
2020-12-20 17:20:00+00:00,182,70.0,48.4,3.01,3.698,3.01,3.698
2020-12-20 17:30:00+00:00,182,70.0,49.0,0.908,1.172,0.908,1.172
2020-12-20 17:40:00+00:00,182,70.0,49.2,0.388,1.034,0.388,1.034
2020-12-20 17:50:00+00:00,182,70.0,50.0,0.316,0.738,0.316,0.738
2020-12-20 18:00:00+00:00,182,70.0,50.8,1.186,2.388,1.186,2.388
2020-12-20 18:10:00+00:00,182,69.8,51.0,0.432,2.424,0.432,2.424
2020-12-20 18:20:00+00:00,182,70.0,51.8,0.28,1.006,0.28,1.006
2020-12-20 18:30:00+00:00,182,70.0,52.2,2.098,2.462,2.098,2.462
2020-12-20 18:40:00+00:00,182,70.0,52.8,5.32,5.816,5.32,5.816
2020-12-20 18:50:00+00:00,182,69.4,53.0,2.354,3.296,2.354,3.296
2020-12-20 19:00:00+00:00,182,68.8,53.2,1.646,2.33,1.646,2.33
2020-12-20 19:10:00+00:00,182,68.2,54.0,4.506,5.736,4.506,5.736
2020-12-20 19:20:00+00:00,182,68.0,54.6,6.754,7.07,6.754,7.07
2020-12-20 19:30:00+00:00,182,66.4,55.8,1.592,1.734,1.592,1.734
2020-12-20 19:40:00+00:00,182,62.2,56.0,0.58,0.704,0.58,0.704
2020-12-20 19:50:00+00:00,182,59.8,56.2,0.556,0.586,0.556,0.586
2020-12-20 20:00:00+00:00,182,59.4,56.0,0.88,1.268,0.88,1.268
2020-12-20 20:10:00+00:00,182,59.2,56.0,0.71,0.786,0.71,0.786
2020-12-20 20:20:00+00:00,182,60.6,55.8,0.858,1.118,0.858,1.118
2020-12-20 20:30:00+00:00,182,62.4,55.4,0.674,0.712,0.674,0.712
2020-12-20 20:40:00+00:00,182,61.0,55.6,0.652,0.834,0.652,0.834
2020-12-20 20:50:00+00:00,182,58.0,55.8,0.718,0.784,0.718,0.784
2020-12-20 21:00:00+00:00,182,57.8,56.0,0.816,1.33,0.816,1.33
2020-12-20 21:10:00+00:00,182,54.8,56.0,2.372,2.782,2.372,2.782
